# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    mod0 IS NOT NULL AND vgsr IS NOT NULL
# Display the fields:              objname, mod0, vgsr
# Order by:                        mod0
# Description of each column
# objname: ------------- <NA>
#  mod0: --------------- <NA>
#  vgsr: --------------- <NA>
#-------,-----,-----
objname, mod0, vgsr
NGC5427,32.26,2636.3
UGC09394,32.261,1802.6
NGC5254,32.262,2232.4
ESO122-001,32.268,2400.9
NGC5308,32.269,2141.9
PGC097023,32.27,5599
ESO367-017,32.27,2569.1
IC5333,32.27,1903.2
UGC01753,32.27,3096.6
UGC12010,32.27,2970
ESO380-006,32.274,2762.9
NGC1407,32.277,1707.9
NGC4287,32.28,2060.2
NGC4353,32.28,1045
ESO505-023,32.28,1508.4
ESO139-049,32.28,2657
UGC04753,32.28,1851.5
ESO382-041,32.283,1601.1
IC4633,32.283,2793.6
UGC03070,32.287,2448.7
ESO340-009,32.288,2593.7
NGC0115,32.289,1811.8
ESO427-034,32.29,2179.1
UGC09703,32.29,2635.9
NGC4255,32.29,1893.4
NGC5595,32.292,2634.5
ESO090-015,32.297,1454.1
NGC5898,32.297,2072.6
NGC3613,32.297,2099.9
NGC4800,32.297,934
ESO380-034,32.3,2872.5
PGC043301,32.3,2141.9
NGC3089,32.3,2493.2
IC2536,32.304,2510.7
ESO441-011,32.306,1961.7
IC4889,32.307,2500.1
IC1459,32.307,1798.4
UGC08630,32.31,2463.9
UGC07567,32.31,795.6
NGC5297,32.31,2491.8
NGC5061,32.312,1899.9
UGC07086,32.315,2155.1
ESO595-010,32.318,2318.9
UGC08052,32.32,1685.6
NGC4120,32.32,2371.3
UGC07170,32.32,2403.2
NGC7247,32.32,2535.4
NGC5377,32.32,1894.9
NGC4575,32.32,2798.9
NGC6875A,32.32,3156.3
ESO576-040,32.325,1962.9
ESO580-041,32.326,2887.6
PGC045877,32.326,2641.5
PGC017395,32.326,2590
NGC5740,32.328,1564.8
IC0529,32.329,2380.4
NGC6010,32.33,2079.1
IC4472,32.33,2740.1
NGC6902,32.33,2785.6
IC0610,32.33,1100.9
PGC013716,32.33,1507.9
ESO514-007,32.33,2242.6
NGC1886,32.333,1599.6
NGC5170,32.334,1395.2
UGC09299,32.334,1532.2
PGC007324,32.335,1859.3
IC1125,32.337,2814.5
ESO425-002,32.34,1208.2
UGC09977,32.343,1948.6
IC3225,32.344,2297.5
UGC03691,32.344,2112.8
IC0065,32.345,2795.5
NGC0636,32.347,1882.7
NGC6017,32.347,1854.9
NGC6949,32.35,2984.5
UGC05249,32.351,1733.5
NGC7049,32.357,2235.4
NGC4645,32.357,2434
UGC05921,32.36,1368
UGC06802,32.36,1317.3
ESO027-008,32.36,2350.4
NGC4866,32.36,1953.4
ESO545-005,32.36,2301.4
NGC2543,32.363,2448.9
PGC069448,32.367,3100.9
NGC6925,32.368,2826.9
ESO441-012,32.37,2001.5
NGC3370,32.371,1200.2
UGC08085,32.371,2006.4
UGC09057,32.373,1544.7
ESO572-049,32.379,1502.8
IC2522,32.38,2796
ESO497-022,32.38,2204.7
NGC7755,32.38,2970.6
NGC0448,32.387,1987.8
PGC043970,32.39,2358.2
ESO576-003,32.39,2834.3
NGC4567,32.39,2207.6
NGC4729,32.39,3164.2
NGC6887,32.39,2660
ESO435-015,32.39,2200.5
ESO490-007,32.39,2655.8
UGC08726,32.391,2409.1
ESO320-035,32.392,2803.7
NGC3294,32.393,1561
PGC027130,32.395,1911.2
PGC043458,32.396,2280.2
UGC08733,32.396,2421.9
NGC7479,32.4,2546
UGC05203,32.402,1681
UGC01500,32.404,2523.7
NGC3430,32.404,1562.9
NGC3437,32.406,1203.6
IC2560,32.406,2705.2
IC2166,32.406,2775.2
NGC5708,32.407,2816.3
PGC035705,32.41,1484.2
ESO347-029,32.41,1553.4
PGC003062,32.41,1478.4
IC4351,32.414,2555.3
ESO001-006,32.414,2054.5
ESO404-018,32.416,2303.5
NGC5073,32.419,2639.6
NGC2273,32.42,1925.3
UGC02429,32.42,1772.6
UGC08756,32.42,1411
PGC016875,32.42,2555.8
ESO572-022,32.42,1752.7
NGC4693,32.42,1808.6
NGC3583,32.42,2153.8
PGC018989,32.42,4371.7
UGC10194,32.42,1044.3
NGC1924,32.42,2429.6
NGC3281D,32.421,2428
NGC5630,32.423,2771.4
NGC0360,32.423,2179
ESO374-003,32.426,2709.6
NGC2339,32.428,2178.3
NGC2357,32.428,2212.6
NGC7347,32.43,2406.6
NGC4462,32.43,1645
PGC004143,32.43,1927.1
PGC049732,32.43,2642.1
ESO237-052,32.43,2858.8
NGC3157,32.431,2622.9
NGC4746,32.434,1737.5
UGC04601,32.436,1917.9
ESO428-028,32.439,2045.8
PGC072006,32.44,2149.1
PGC052460,32.44,1847.7
PGC016772,32.44,2244.4
NGC5950,32.44,2745.4
UGC03540,32.44,2095.7
PGC020274,32.441,1553.8
NGC4127,32.444,1958.2
NGC6168,32.445,2642.1
UGC09071,32.445,1945.6
NGC0865,32.445,3099.6
NGC5322,32.447,1928.4
NGC5044,32.447,2581.1
NGC7368,32.448,2352
IC5071,32.45,3007.1
IC5171,32.45,2811.1
NGC6911,32.45,2704.3
ESO263-015,32.45,2300.7
UGC07394,32.452,1510.3
NGC0485,32.454,2332.6
NGC2712,32.455,1829.1
ESO322-038,32.457,3000.9
NGC7173,32.457,2532.8
PGC025886,32.459,1657
NGC0680,32.46,2918
IC4694,32.46,2689.3
NGC4466,32.46,682.2
NGC3095,32.46,2512.1
PGC009816,32.461,3871.9
ESO575-053,32.462,2411.4
IC2510,32.463,2583.1
NGC3045,32.466,2056.3
NGC3279,32.466,1284.7
NGC4603A,32.469,3512.5
NGC1056,32.469,1632
UGC10095,32.47,2022.2
ESO287-013,32.47,2677.3
IC2539,32.472,2620
UGC12497,32.473,3911
PGC006190,32.475,2156.2
NGC6585,32.479,3031.8
IC4943,32.48,2884.4
NGC2268,32.484,2382.1
NGC2271,32.487,2407.6
IC3371,32.489,856.8
PGC166755,32.49,2651.5
ESO107-016,32.49,1704.7
NGC5371,32.49,2659.1
ESO289-048,32.49,2816.8
ESO482-005,32.49,1822
UGC06791,32.498,1820.1
ESO324-044,32.499,2384
NGC2654,32.499,1412.3
NGC1723,32.5,3629.4
ESO431-016,32.5,2580.9
ESO119-016,32.5,783.7
ESO373-012,32.5,2420.7
UGC06271,32.5,1977.6
PGC014600,32.5,2861.8
UGC04024,32.502,1799.4
NGC4348,32.502,1899.8
ESO400-025,32.503,2210.4
NGC5443,32.506,1918.9
NGC6869,32.507,2951.5
NGC3258,32.507,2583.5
NGC2336,32.509,2346.6
NGC5011A,32.509,3002.9
NGC4261,32.51,2141.9
PGC097243,32.51,2978.9
NGC7721,32.514,2112.4
NGC5813,32.517,1964.8
UGC06083,32.518,862.4
ESO575-061,32.519,1517
NGC5833,32.523,2874.6
UGC01970,32.526,2002.6
NGC2695,32.527,1669.3
NGC7097,32.527,2598.4
IC0776,32.528,2397.2
ESO498-003,32.528,2153.5
UGC06879,32.53,2272.1
UGC03276,32.53,2647.8
NGC5365A,32.53,2611.7
UGC05020,32.531,1590.9
UGC04777,32.533,2006.3
UGC06162,32.535,2261.2
NGC3683,32.538,1785.6
IC1553,32.539,2932.6
NGC5962,32.54,2039.8
ESO009-001,32.54,2396.5
UGC04169,32.541,1681.2
NGC4291,32.543,1842.9
NGC3259,32.545,1774.6
PGC165356,32.55,3315.6
ESO554-028,32.55,1908
UGC06402,32.55,2488.8
NGC3568,32.55,2232.3
NGC5425,32.552,2178.7
NGC6923,32.555,2876.4
ESO576-011,32.557,2635.6
NGC4045,32.558,1867
IC5007,32.558,2765.7
PGC003855,32.56,2472.8
NGC7661,32.56,1927.7
NGC3610,32.56,1781.4
UGC10852,32.56,2907.4
ESO488-049,32.56,1622.2
NGC4749,32.561,1883.2
NGC0524,32.565,2510.4
UGC05238,32.565,1625.6
UGC10713,32.568,1260.8
ESO490-036,32.57,1740.7
UGC04413,32.57,2413.9
NGC3901,32.57,1828.1
UGC02443,32.571,2509.8
NGC7416,32.571,2975.6
NGC4492,32.571,1676
UGC12535,32.573,4353.8
NGC3256B,32.574,2489.2
UGC07239,32.574,1145.6
NGC5845,32.574,1462.2
NGC2811,32.575,2158.2
NGC1199,32.577,2629.9
ESO490-014,32.578,2520.6
UGC06355,32.579,2169.7
ESO507-041,32.58,3025.9
NGC3258C,32.58,2346
ESO123-016,32.58,3029.7
PGC039894,32.58,874.6
UGC06610,32.58,1860.6
UGC11422,32.58,4876.8
NGC4767,32.58,2889.3
NGC5557,32.58,3295.2
NGC4947A,32.58,2424.9
UGC05354,32.588,1195.9
ESO403-031,32.589,2551.4
NGC4233,32.59,2199.6
ESO322-017,32.59,3220
NGC2417,32.59,2982.7
UGC00521,32.59,781.6
NGC4629,32.59,1019.6
PGC009272,32.592,2096.9
NGC7083,32.592,3017.6
UGC05798,32.593,1573
NGC5290,32.593,2638.6
PGC012130,32.595,2286.4
IC5249,32.596,2268.2
UGC10041,32.597,2220.7
NGC2634,32.597,2380.7
ESO079-003,32.6,2507.9
NGC5452,32.6,2226.1
ESO430-026,32.6,1436
ESO287-009,32.6,2668.8
UGC08642,32.602,2514.8
NGC3021,32.603,1507.1
PGC054817,32.606,1932.3
NGC3054,32.606,2217.6
UGC07184,32.606,2017.9
NGC2758,32.61,1756.6
ESO444-037,32.61,1760
NGC6368,32.611,2893.2
NGC2369,32.612,3020.4
PGC066242,32.616,2374.5
NGC3073,32.617,1215.7
UGC04524,32.617,1801.8
NGC2701,32.619,2374.8
PGC070107,32.62,5919.3
ESO323-042,32.62,4028.4
NGC5967,32.621,2762.5
NGC7184,32.622,2700
NGC5903,32.627,2505.7
NGC5448,32.628,2120.6
NGC5205,32.629,1886.8
ESO533-028,32.629,2619.5
IC5026,32.63,2614.2
UGC09638,32.63,2426.7
NGC6181,32.633,2489.1
NGC5688,32.635,2666.4
UGC08988,32.635,2212.8
NGC5117,32.637,2417.8
NGC3193,32.637,1299.3
NGC4603D,32.637,2535.3
UGC04621,32.64,2268.6
NGC3976,32.641,2407.7
IC3298,32.642,2393.4
NGC3320,32.642,2357.2
NGC3318,32.643,2553.9
NGC4602,32.645,2436.8
ESO440-004,32.645,1660.2
NGC4152,32.646,2112.4
NGC5963,32.65,819
NGC6000,32.65,2141.2
UGC07612,32.65,1487.7
NGC1079,32.65,1376.5
UGC12281,32.651,2738.3
PGC027747,32.654,1682.4
NGC3257,32.657,2988.5
UGC08658,32.657,2127.4
NGC5105,32.657,2804.6
UGC04824,32.658,2218.7
NGC2986,32.658,2122.3
PGC576005,32.66,4486.2
ESO508-051,32.66,1998.9
UGC07125,32.66,1089.9
ESO507-067,32.66,2910.8
ESO437-035,32.661,3186.6
NGC5676,32.663,2225.2
IC4214,32.663,2165.8
NGC2722,32.663,2593.1
UGC10288,32.665,2096.1
ESO580-029,32.665,2526.7
ESO323-034,32.667,4143.1
ESO491-009,32.67,1857
PGC043379,32.67,2705.2
ESO221-022,32.67,2757.2
NGC4168,32.67,2213.4
ESO505-009,32.67,1965.6
PGC091656,32.67,3978.3
UGC04841,32.67,1250.4
NGC1309,32.678,2073
NGC3755,32.679,1579.1
PGC051291,32.68,2701.9
UGC03637,32.68,3425.5
IC3268,32.682,651.9
ESO407-014,32.683,2748.8
NGC3268,32.687,2582.7
NGC7200,32.687,2871.4
IC3099,32.689,2062.6
UGC06575,32.689,1296.4
ESO428-017,32.69,2179.9
ESO428-018,32.69,1869.7
IC2559,32.696,2768.8
NGC3087,32.697,2415.9
ESO404-027,32.697,2582.1
NGC7168,32.697,2803.3
UGC07739,32.698,1966.6
NGC3614,32.699,2363.9
NGC0532,32.699,2456.5
UGC12707,32.7,2769.8
IC2513,32.7,2649.8
NGC3223,32.7,2677
UGC00958,32.705,2525.2
IC4810,32.706,3116.3
NGC3078,32.707,2351.9
NGC2962,32.708,1822
UGC05107,32.709,1867.8
UGC09389,32.709,1857.4
NGC7418A,32.71,2108.7
ESO322-042,32.71,3747.7
ESO509-074,32.712,2474.7
NGC3715,32.717,1961
NGC4180,32.72,2096
UGC09657,32.72,2673
IC0101,32.72,2484.9
ESO289-010,32.72,2743.9
PGC013646,32.725,2093.3
NGC6909,32.727,2758.1
UGC06080,32.728,2261.8
ESO429-001,32.73,1903.4
ESO564-032,32.73,2553.8
UGC12641,32.73,2874.8
UGC07423,32.73,1190
UGC10791,32.73,1518.8
PGC042717,32.731,2344.7
IC2537,32.735,2576
UGC09665,32.738,2688.9
UGC01110,32.739,2860.3
ESO318-004,32.739,2720.1
PGC071171,32.739,4145.5
ESO022-003,32.74,2571.4
NGC3962,32.74,1705.1
NGC0895,32.74,2294.9
NGC4545,32.741,2778.1
ESO377-021,32.746,2556.7
NGC3629,32.746,1474.8
UGC05897,32.747,2611.6
NGC1209,32.747,2587.7
UGC08662,32.75,2080.9
IC3074,32.75,1912.8
ESO603-031,32.75,2341.5
IC0750,32.75,739.7
NGC7606,32.75,2317.4
IC4216,32.75,2745
NGC3246,32.75,2014.5
UGC07522,32.751,1337.5
ESO372-016,32.751,2201.3
NGC5913,32.755,2016
ESO121-026,32.755,2056.4
IC2531,32.757,2258.9
NGC4696D,32.757,2464.1
ESO564-027,32.758,1971.5
ESO237-049,32.76,2884.4
ESO432-002,32.76,2631
NGC4430,32.76,1373.3
NGC0710,32.76,6240.7
UGC01197,32.763,2901.3
UGC06309,32.764,2910.1
NGC6851,32.767,3022.5
ESO433-010,32.768,1902.7
UGC04922,32.77,2016.8
NGC7400,32.77,2973.8
ESO499-009,32.77,1873.9
ESO257-019,32.771,2646.8
NGC5022,32.774,2870.4
NGC3818,32.777,1560.6
NGC7126,32.78,2969.6
ESO123-009,32.782,2994.5
NGC4193,32.783,2407.5
UGC12451,32.785,3779.3
UGC09858,32.787,2744.1
NGC3625,32.788,2020.1
PGC006898,32.79,1665.3
UGC04906,32.79,2317.6
UGC12692,32.79,2350.1
UGC11613,32.791,2892.8
NGC4696,32.794,2798.8
UGC02459,32.798,2591.8
NGC5320,32.799,2691.7
NGC3254,32.799,1326.9
NGC4260,32.8,1709.3
ESO434-010,32.8,2285.2
ESO491-015,32.805,2477.2
UGC02411,32.808,2706.4
ESO378-003,32.808,2820.4
NGC0931,32.809,5095.2
NGC5633,32.81,2436.8
ESO107-015,32.81,3267.9
ESO486-003,32.81,1623.5
NGC4603,32.812,2412.5
ESO582-004,32.812,2176.9
NGC1186,32.816,2852.8
NGC4939,32.817,3008.6
ESO494-021,32.82,1376.4
NGC7537,32.82,2817.7
UGC10887,32.82,2026.8
NGC4480,32.82,2352.8
ESO422-005,32.82,1312.9
UGC12769,32.82,2193.1
PGC043412,32.82,2705.4
NGC2935,32.82,2068.5
ESO428-009,32.821,2028.6
UGC04845,32.821,1992.4
UGC00903,32.826,2628
UGC12054,32.826,2231.9
PGC052853,32.828,1998
UGC03777,32.828,3175.5
UGC10297,32.83,2411.6
UGC00608,32.83,2934.4
PGC019975,32.831,3371.2
ESO346-001,32.832,2399.6
IC0292,32.833,3164.8
UGC00622,32.834,2892.8
PGC027158,32.834,2481.6
UGC04659,32.835,1783.5
UGC11435,32.837,3968.9
NGC4373A,32.837,2754
NGC0691,32.839,2768.9
ESO385-031,32.84,3000.5
IC5269A,32.84,2878.8
NGC2523,32.84,3603.5
NGC6586,32.84,3311.7
NGC4961,32.841,2548.3
NGC5346,32.845,2581
IC5156,32.846,2783.2
ESO385-032,32.847,2722
ESO384-015,32.85,3417.4
IC1783,32.85,3279.9
NGC5937,32.856,2824.2
PGC018373,32.856,2066.5
NGC3321,32.858,2316.5
ESO533-004,32.859,2647.6
UGC11648,32.86,3583.5
IC5120,32.86,3227.3
ESO373-019,32.86,2585.6
NGC3124,32.86,3363.8
IC4582,32.86,2256.2
NGC6796,32.86,2409.6
ESO126-010,32.86,1924.7
IC3267,32.86,1161.6
UGC12308,32.861,2390.5
UGC08737,32.862,1923.5
NGC4238,32.865,2868.5
IC5328,32.867,3101.4
NGC2865,32.867,2510.5
NGC7192,32.867,2763.9
NGC3683A,32.87,2486.9
ESO560-004,32.87,1979
NGC4141,32.87,1993.4
UGC11477,32.87,3939.9
ESO501-079,32.87,999.2
PGC065211,32.87,3086.8
IC4595,32.872,3274.7
IC2556,32.874,2285.5
UGC12667,32.879,3980.6
ESO268-044,32.88,3303.4
NGC3735,32.88,2818.4
NGC5090,32.88,2782
IC1892,32.88,2809.5
NGC5982,32.88,2992.7
UGC11404,32.881,4114.1
IC2143,32.882,2891.8
UGC00525,32.884,5084.7
NGC0632,32.885,3230.1
IC2511,32.887,2679.7
ESO435-014,32.888,2449.9
NGC1163,32.89,2228.3
NGC1134,32.89,3686.9
UGC12141,32.89,2282.6
NGC1169,32.89,2507.6
NGC3611,32.89,1500.8
NGC5673,32.891,2204.8
NGC3488,32.894,3069.7
NGC5714,32.894,2355.5
ESO163-014,32.895,2633.8
UGC04550,32.895,1954.9
ESO437-014,32.897,2648.4
ESO553-017,32.897,1828
NGC7029,32.897,2754.4
ESO379-006,32.898,2753.5
ESO404-012,32.9,2672.4
UGC02463,32.9,2009.9
NGC6754,32.9,3197.9
ESO431-013,32.9,2612.1
NGC2919,32.9,2401.9
IC0438,32.902,2966.3
NGC7541,32.904,2821.2
NGC4680,32.905,2326.6
UGC07387,32.905,1647.4
NGC6675,32.906,2701.8
PGC024778,32.907,2723.9
IC0769,32.907,2146.2
UGC08795,32.908,2372.8
NGC5012,32.908,2612.5
NGC5018,32.91,2722.2
UGC03147,32.91,3024.2
ESO040-012,32.911,2478.9
NGC5520,32.913,1991
PGC083695,32.918,6144.2
PGC071197,32.92,3747
ESO340-008,32.92,2839.1
PGC069691,32.92,2689
ESO499-022,32.92,2001
UGC09856,32.921,2607.6
UGC09291,32.922,2980.8
ESO436-001,32.923,2400.9
NGC4574,32.926,2782.8
UGC00477,32.929,2784.2
NGC4428,32.929,2856.4
UGC11055,32.93,3090.7
ESO382-067,32.93,2325.2
PGC024870,32.93,1800.3
IC5321,32.934,2936.9
ESO321-010,32.934,2933.9
PGC097067,32.94,4473.1
NGC2460,32.94,1517.9
UGC09682,32.94,1823.3
NGC3347B,32.942,2971
NGC3147,32.944,2937.3
NGC2441,32.944,3585.5
NGC0522,32.945,2823.9
UGC10014,32.95,1193.2
NGC1359,32.95,1889.3
ESO549-035,32.95,1721.8
NGC4779,32.95,2795.7
NGC6574,32.95,2444.5
NGC4616,32.957,4429
UGC02896,32.96,2387.5
PGC014626,32.96,1781.4
NGC2916,32.96,3637.1
UGC08318,32.96,2371.4
UGC05765,32.96,1933.8
ESO375-026,32.964,2913.3
NGC3038,32.967,2566.1
ESO377-010,32.969,2669.7
PGC090941,32.97,2163.2
NGC3347A,32.97,2564.5
IC4964,32.97,3046
UGC09482,32.97,1794.1
ESO443-042,32.973,2762
NGC3701,32.978,2764
NGC0935,32.98,4250.9
NGC1888,32.98,2290.3
NGC2365,32.98,2208.1
PGC032548,32.98,2316.9
ESO340-017,32.98,2626.6
UGC03048,32.98,3189.3
PGC040409,32.985,805.7
ESO527-019,32.985,3189
PGC053764,32.99,2413.7
UGC01020,32.99,2694.2
NGC4373,32.99,3238.7
ESO437-039,32.99,3539.6
ESO508-019,32.99,2826.2
NGC5783,32.996,2499.2
ESO555-002,32.996,2209.8
NGC4416,32.997,1321.2
IC1265,32.998,2357
UGC09391,33.001,2046.6
NGC3440,33.003,1992.2
ESO380-019,33.004,2755.7
PGC053634,33.005,2887.1
NGC7328,33.005,2994.6
NGC3888,33.01,2473.2
PGC043280,33.01,2680.3
ESO438-015,33.012,3173.5
ESO563-028,33.013,2417.4
NGC7410,33.015,1734.9
ESO437-056,33.015,2721.7
UGC04375,33.016,1977.6
UGC05347,33.018,2001.2
ESO437-012,33.02,3356.5
ESO501-037,33.02,3470.1
NGC3241,33.02,2802.3
NGC6750,33.02,3903.6
ESO563-026,33.02,3199.3
NGC4256,33.02,2646.3
NGC7562A,33.021,3652.1
PGC043164,33.024,6622.6
UGC03820,33.026,2444.4
UGC02081,33.029,2628.2
NGC3692,33.03,1616.8
PGC090540,33.03,2277.8
PGC071529,33.038,3670.8
NGC3549,33.039,2910.1
ESO548-082,33.04,1641.1
PGC017217,33.04,2358.6
NGC2608,33.043,2099.3
UGC05522,33.047,1094.9
NGC7040,33.05,6294.2
ESO123-023,33.05,2689.3
UGC04701,33.05,1543.6
PGC083684,33.051,7450.1
UGC10743,33.053,2680.2
UGC06780,33.055,1599.2
UGC00964,33.055,2819.7
NGC5894,33.056,2618.9
NGC1162,33.057,3897
UGC11492,33.058,3791.4
NGC1620,33.06,3443
UGC05376,33.06,1914.8
NGC3533,33.061,2913.1
UGC07579,33.062,2172.6
IC3061,33.066,2261.3
NGC6434,33.066,2681.7
UGC12562,33.066,3992.5
ESO271-022,33.067,2876.5
UGC09991,33.068,2010.1
NGC6372,33.069,4913.1
ESO379-027,33.07,2673
ESO317-023,33.074,2533.9
NGC5430,33.075,3122.6
UGC08693,33.077,2498.6
UGC02134,33.078,4676.5
NGC7290,33.078,3087
UGC00320,33.08,2472.1
NGC3285B,33.08,2750.4
UGC11295,33.08,2565.7
PGC097032,33.08,4560
PGC043690,33.083,2449.4
NGC2938,33.09,2415.7
ESO318-003,33.09,2548.2
NGC6063,33.09,2916.6
PGC003183,33.09,4949.7
NGC2815,33.094,2334
UGC06509,33.096,2848.8
NGC5116,33.096,2910.2
NGC2710,33.098,2628.3
NGC7392,33.1,3225.6
NGC4305,33.1,1865.3
PGC044519,33.102,6952.4
PGC046261,33.104,2529.2
UGC01820,33.105,4065.1
NGC4642,33.105,2558.8
UGC05642,33.105,2222.6
IC4393,33.108,2643.6
PGC097081,33.11,5523.6
ESO541-005,33.11,1967.6
UGC02370,33.11,2281.8
UGC08067,33.11,2668.9
NGC5011,33.11,2944.1
NGC3366,33.11,2666.2
PGC028380,33.11,2340.7
IC2267,33.11,2009.6
IC4263,33.114,2800.6
UGC03804,33.116,2991.5
UGC12430,33.117,3871.6
IC2098,33.118,2731.1
NGC7448,33.119,2367.4
ESO469-008,33.12,1793.3
NGC3250C,33.12,2373.3
ESO547-012,33.12,1949.2
NGC4034,33.124,2491.5
NGC3250,33.127,2577
UGC04982,33.128,2726.5
UGC02617,33.129,4801.1
PGC041994,33.129,710.8
ESO544-027,33.13,2437.8
NGC4050,33.13,1610.7
UGC05358,33.13,2802.9
NGC3811,33.13,3200.6
UGC04482,33.13,1998.8
UGC09448,33.13,2323.8
NGC4067,33.138,2343.2
IC2150,33.14,2924.7
ESO491-012,33.14,2382.7
ESO266-015,33.14,2975.3
ESO561-003,33.14,3317.7
UGC04725,33.144,1952.7
NGC4814,33.145,2598.4
NGC5240,33.146,2287
UGC11003,33.15,4212.4
UGC11385,33.15,3300
NGC5899,33.151,2714.4
ESO404-017,33.151,2535.6
NGC2906,33.152,2151.9
UGC03009,33.153,3777.1
NGC4709,33.159,4496.5
ESO377-004,33.16,2945.9
NGC5777,33.16,2294.2
NGC4628,33.16,2709
PGC015869,33.16,2429.3
NGC5727,33.17,1585.8
NGC2990,33.17,2942.5
PGC028308,33.17,2513.6
IC1055,33.17,2860.7
ESO507-042,33.17,3079.7
NGC7608,33.173,3679.6
NGC6907,33.178,3246
IC1474,33.179,3636.5
NGC6788,33.18,3110.2
ESO381-014,33.182,3134.7
NGC5064,33.185,2834.7
NGC4993,33.187,2801.5
UGC09845,33.189,1944.6
NGC4591,33.19,2359.5
ESO137-007,33.19,4839.2
PGC053093,33.19,2541.1
NGC3786,33.196,2692
NGC7171,33.197,2823.4
PGC086285,33.199,2789.6
NGC3306,33.199,2843
ESO447-019,33.2,3769.3
NGC7610,33.2,3708.9
PGC002964,33.2,5127.3
PGC065131,33.2,4039.1
UGC03937,33.205,3975.3
UGC00669,33.205,5991.6
ESO269-057,33.207,2932.9
UGC03776,33.208,3859.7
NGC6667,33.208,2791.4
UGC04800,33.21,2490.4
NGC5661,33.21,2357.1
NGC3329,33.211,2028.5
IC0407,33.212,2689.6
ESO602-015,33.214,2752.3
ESO437-030,33.216,3551.9
UGC04623,33.217,3015.9
IC0851,33.22,2618.8
NGC5653,33.22,3638.9
UGC04559,33.222,2027.6
IC4111,33.223,7776.3
ESO061-008,33.224,3155.3
UGC04361,33.226,3666.2
NGC5289,33.227,2598.2
NGC6801,33.228,4586.1
PGC006864,33.228,2155.4
NGC5283,33.229,3274.3
NGC3311,33.23,3629.9
UGC10043,33.23,2254.3
ESO443-080,33.23,1975.6
UGC08261,33.23,897.9
NGC7626,33.23,3551.4
ESO436-040,33.23,4222.3
IC1711,33.231,2906.1
NGC5193,33.235,3567.7
NGC0681,33.236,1760.7
NGC7179,33.24,2885.7
NGC2708,33.24,1832
NGC5529,33.24,2955.7
UGC03413,33.241,4366.2
ESO383-067,33.242,3962.9
NGC7196,33.247,2849.7
NGC6460,33.248,3505.5
ESO434-023,33.249,2313
IC3094,33.249,-221.4
ESO011-005,33.25,2825.9
ESO427-006,33.25,2590.9
NGC3094,33.25,2307.7
NGC5707,33.255,2314.8
NGC7329,33.256,3147.8
NGC0658,33.256,3064
ESO323-027,33.257,3679.4
NGC6495,33.259,3293.1
NGC7678,33.26,3676.7
NGC1024,33.26,3580.4
PGC041978,33.26,9128.2
NGC6467,33.26,3194.7
UGC03354,33.262,3171.1
UGC07941,33.272,2421.4
NGC1752,33.273,3471.6
NGC4289,33.274,2523.8
NGC5604,33.275,2719.2
UGC07697,33.275,2507.5
PGC011004,33.275,3645.5
ESO240-011,33.276,2793.7
NGC0489,33.276,2605.5
NGC3557,33.277,2847.8
ESO377-031,33.278,2812.4
NGC4767A,33.28,2741.4
IC1788,33.28,3447.1
NGC3689,33.282,2701.7
NGC3449,33.283,3072.1
NGC2124,33.284,2797.3
PGC2793302,33.285,5717
ESO436-014,33.29,3675.9
ESO435-044,33.29,1984
ESO560-012,33.29,3109.8
PGC005341,33.29,2000.9
UGC10721,33.29,3070.4
IC5334,33.294,2320.6
NGC2821,33.295,2219.8
UGC11426,33.3,4625.6
NGC0992,33.3,4211.1
IC3446,33.3,1198
ESO501-075,33.302,5028
ESO346-014,33.306,2690.3
NGC6916,33.306,3326.9
PGC086269,33.31,3398.3
NGC2844,33.317,1471.8
UGC03474,33.32,3751.7
UGC03500,33.32,4545.2
IC5309,33.325,4334
NGC5874,33.33,3277.4
UGC03084,33.33,4031.5
UGC12494,33.33,4340
NGC5016,33.33,2617.4
NGC3153,33.33,2704.9
ESO443-021,33.337,2660.8
NGC5990,33.34,3866.7
UGC03524,33.346,3833.7
IC5179,33.349,3427
PGC083669,33.349,7787.8
UGC05689,33.35,2951.4
UGC03459,33.35,2781
UGC02982,33.35,5275.8
NGC4593,33.35,2363.6
ESO435-050,33.354,2500.3
ESO319-011,33.354,2897.7
UGC12135,33.359,4212.8
ESO554-018,33.359,2710.8
UGC03498,33.36,3713
UGC01378,33.36,3111.1
NGC5313,33.36,2616.8
NGC4946,33.367,2941.8
PGC576636,33.37,4564.3
IC4407,33.37,2678.7
PGC066738,33.37,3076.2
PGC083725,33.37,7643.5
NGC4897,33.37,2445
ESO322-040,33.37,3171.5
UGC02637,33.378,5218.1
PGC053796,33.38,2893.6
NGC3419A,33.38,2987.6
NGC7282,33.381,4763.5
NGC5533,33.383,3941
UGC11459,33.384,3346.6
NGC5494,33.39,2503.9
NGC0976,33.39,4372.1
PGC093031,33.393,3622.4
ESO441-014,33.395,1989.4
UGC12519,33.398,4545.2
PGC2793352,33.399,4475.4
NGC5468,33.403,2793.2
UGC00256,33.404,5371.7
NGC5169,33.41,2500
ESO320-026,33.42,2596.6
UGC10413,33.421,3109.2
UGC03539,33.425,3408.6
PGC071754,33.426,4985.8
PGC037153,33.427,6603.8
