# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    mod0 IS NOT NULL AND vgsr IS NOT NULL
# Display the fields:              objname, mod0, vgsr
# Order by:                        mod0
# Description of each column
# objname: ------------- <NA>
#  mod0: --------------- <NA>
#  vgsr: --------------- <NA>
#-------,-----,-----
objname, mod0, vgsr
NGC4437,29.62,1036.8
ALFAZOAJ1952+1428,29.62,467.3
UGC11891,29.64,687.6
SDSSJ085112.11+275248.1,29.64,344.8
PGC041093,29.643,456.3
NGC5585,29.645,434
NGC7640,29.647,578.7
PGC063556,29.65,1627.6
NGC5398,29.65,1094.2
IC4870,29.65,780.4
UGC03817,29.66,458
NGC5194,29.667,548.4
ESO496-010,29.67,593.4
NGC4594,29.673,967.7
PGC166628,29.68,6047.7
UGC08882,29.686,464.8
PGC166063,29.69,486
ESO409-015,29.7,748.7
PGC086668,29.728,396.9
PGC050911,29.74,454.1
UGC05423,29.741,465.3
NGC4485,29.75,528.6
PISCESB,29.75,712.3
UGC07129,29.755,963.3
ESO104-022,29.764,697.9
UGC05427,29.765,433.1
ESO364-029,29.776,596.1
NGC5055,29.78,574.3
UGC01176,29.78,726.8
PGC2543081,29.794,500.1
NGC6744,29.805,758.5
ESO265-007,29.805,851.6
NGC0925,29.818,664.5
PGC166095,29.82,428.9
NGC4490,29.82,632.5
ESO440-044,29.82,2021.7
PGC021772,29.83,487.8
PGC039159,29.83,2027
NGC4600,29.832,757.8
PGC086669,29.834,640.3
PGC040045,29.84,1251.6
NGC2903,29.846,475.3
NGC3377A,29.85,480.9
ESO308-022,29.86,611.2
NGC2683,29.861,385.3
NGC4627,29.861,564.5
6dFJ0956376-092911,29.869,425.8
NGC3384,29.87,466.7
NGC7713,29.879,681.5
NGC4292,29.88,2177.2
NGC4460,29.887,542.8
IC3583,29.887,1073.1
NGC7090,29.89,799
NGC5832,29.9,610.9
NGC1023,29.903,761.4
ESO104-044,29.904,679.2
AGC174605,29.911,226
PGC2806961,29.911,227.6
PGC018431,29.912,581.7
NGC0855,29.917,697.3
NGC7462,29.918,1048.8
PGC043072,29.919,1085
NGC3115,29.923,478.1
ESO373-008,29.93,702.7
IC1558,29.93,1560
NGC2784,29.937,481.6
NGC1744,29.952,593.6
NGC3368,29.955,792.3
NGC3344,29.96,534.4
NGC3556,29.963,766.9
NGC0891,29.967,660.2
NGC2552,29.969,538.9
NGC2283,29.97,661.9
UGC04426,29.972,395
NGC2750,29.976,2605
PGC011744,29.98,1520.3
NGC3351,29.985,676.9
IC5201,29.988,892.2
PGC044532,29.99,874.3
PGC083329,30,790
NGC4312,30.001,103.2
NGC1385,30.005,1399.9
NGC4948,30.01,1233.8
UGC05451,30.02,656.3
NGC1068,30.02,1149.9
ESO440-046,30.023,1577.9
NGC0628,30.03,755.8
UGC05797,30.036,573
ESO300-014,30.036,834.8
NGC3990,30.037,767.2
IC4660,30.04,1433.4
PGC083339,30.043,736.4
PGC4689210,30.046,541.2
NGC1679,30.049,898.7
NGC1437B,30.06,1373.5
NGC0959,30.066,710.7
NGC2427,30.07,745.3
UGC05209,30.087,502.1
NGC3377,30.092,589.9
UGC03966,30.094,359.8
NGC1507,30.102,813
NGC1792,30.104,1038.3
UGC03860,30.106,346.3
UGC04998,30.11,734.3
UGC04499,30.11,725.9
UGC03600,30.11,407.6
NGC4455,30.11,623.7
UGC05456,30.117,425.3
ESO572-034,30.12,955.5
NGC1058,30.126,628.6
IC2233,30.13,574
NGC5229,30.14,482.9
NGC4457,30.15,802.8
NGC6300,30.15,996.8
UGC07094,30.15,812.4
NGC6673,30.157,1059.6
UGC09660,30.16,724.1
NGC4762,30.17,929
NGC3628,30.171,763.2
NGC4818,30.177,964.1
AGC229385,30.187,1321.9
NGC7064,30.189,763.7
NGC1003,30.196,745.7
NGC0949,30.197,732.2
IC2171,30.2,608
NGC1827,30.2,865.2
NGC6221,30.222,1375.8
NGC4562,30.222,1347.4
NGC4532,30.225,1943.4
PGC1824266,30.23,404.8
NGC4525,30.231,1183.6
IC3392,30.236,1622.9
NGC4501,30.239,2235.9
ESO361-019,30.24,2155.2
NGC3412,30.247,749.9
NGC4051,30.247,749.1
NGC4487,30.25,920.9
NGC4438,30.26,46.3
UGC09992,30.26,598.4
ESO550-024,30.262,785.8
NGC2337,30.266,457.1
IC4951,30.27,733.4
NGC3379,30.27,822.1
UGC08799,30.276,1022.2
NGC4802,30.287,917.7
UGC03698,30.292,443.9
NGC3627,30.295,634.9
UGC05288,30.295,434.4
NGC1688,30.3,1042.2
NGC0216,30.3,1555
NGC5530,30.3,1056.7
PGC003853,30.305,1148.1
UGC05944,30.306,831.4
NGC4393,30.31,742.7
NGC1422,30.313,1567.4
IC3476,30.321,-217.5
NGC3184,30.326,596.7
NGC2090,30.329,737.3
NGC4592,30.33,978.3
IC3341,30.33,366.2
UGC07089,30.336,813.8
NGC2541,30.35,576.4
NGC3423,30.35,886.4
UGC11515,30.35,3475.2
NGC4503,30.35,1296.8
ESO202-041,30.35,1482.8
NGC1824,30.358,1055.4
IC3036,30.359,-70.4
UGC07512,30.369,1416.7
ESO162-017,30.37,874.8
NGC4569,30.37,-267.2
NGC3489,30.387,606.1
NGC4405,30.39,1686.9
NGC5248,30.393,1127.3
ESO576-032,30.394,1497.1
NGC4096,30.395,619.5
NGC4461,30.4,1874
NGC1512,30.404,746.2
NGC1637,30.405,637.5
NGC4725,30.406,1208.6
NGC3941,30.407,928.7
NGC4565,30.408,1221.7
IC3356,30.41,1043.3
NGC5002,30.42,1111.2
ESO323-085,30.429,2958.5
NGC4020,30.433,750.3
UGC04393,30.434,2145.7
NGC4697,30.437,1141.6
NGC3511,30.437,916
NGC4145,30.44,1042.4
NGC4313,30.444,1374.8
NGC1808,30.45,826.7
NGC4431,30.45,875
NGC4303,30.451,1483.7
NGC4781,30.46,1153.6
NGC1087,30.464,1527.3
NGC1494,30.466,970.7
NGC3521,30.466,670.1
PGC045370,30.467,891.3
NGC4402,30.469,180.6
UGC07257,30.47,958.2
ESO501-080,30.475,844.1
NGC3953,30.479,1119.3
NGC4351,30.48,2248.3
NGC2549,30.487,1139.5
NGC4606,30.49,1596.5
UGC02890,30.503,1314.2
ESO209-009,30.504,889.7
NGC4540,30.51,1244.4
NGC4192,30.515,-171.6
UGC05340,30.515,461.4
NGC5338,30.517,784.2
PGC018855,30.517,587.2
NGC3319,30.518,747.2
NGC4293,30.53,860.7
ESO120-012,30.53,1150
IC3258,30.54,-486.5
NGC3623,30.548,717.5
NGC4254,30.55,2354.9
PGC061658,30.55,3145.8
ESO026-001,30.55,2628.2
PGC019343,30.55,578.2
UGC07795,30.553,-7.9
NGC4632,30.554,1634
NGC1337,30.557,1191.9
NGC3264,30.57,996.2
NGC4429,30.57,933.6
NGC4731,30.577,1393.4
NGC5949,30.579,593.7
UGC03598,30.58,2077.7
NGC4586,30.58,708.6
NGC4930,30.58,2419.7
NGC3930,30.589,938.5
NGC4039,30.62,1471.1
NGC6689,30.622,693.7
NGC4684,30.627,1502.8
IC1954,30.635,911.7
ESO208-021,30.637,796
PGC097109,30.64,6055.9
NGC3726,30.642,907.4
NGC4026,30.647,1035.6
NGC4758,30.653,1211.9
NGC4173,30.657,1120.9
NGC5042,30.665,1259
UGC02855,30.665,1351.7
IC0396,30.671,1015.4
NGC4138,30.677,919.7
NGC7250,30.68,1389.4
NGC3486,30.68,647.3
ESO150-005,30.68,1354.3
UGC01200,30.69,898.6
ESO382-045,30.69,1304.5
UGC06782,30.69,489.6
NGC7741,30.694,931.4
NGC6684,30.697,772.9
PGC051017,30.7,712.8
NGC4216,30.7,76
NGC4421,30.7,1506.4
ESO359-003,30.702,1449.3
NGC4037,30.705,864.3
NGC4654,30.707,999.7
NGC4546,30.717,953.6
ESO544-030,30.72,1579.6
NGC3198,30.727,682.5
PGC037779,30.727,1385
NGC3998,30.727,1123.6
NGC3287,30.729,1218
IC0800,30.729,2292.4
NGC4389,30.73,770.2
ESO384-002,30.73,1257.9
NGC5921,30.73,1472.9
UGC11909,30.73,1332.3
NGC2082,30.731,994.6
NGC4636,30.738,848.1
UGC02345,30.74,1512.3
ESO383-091,30.74,938.9
NGC7694,30.745,2380.8
NGC4527,30.746,1654
ESO305-009,30.747,847.6
IC3105,30.75,-215.8
NGC4346,30.757,835.7
NGC7457,30.767,1014.4
ESO324-023,30.77,1288.1
NGC1511,30.78,1158
NGC4302,30.78,1079.1
UGC06773,30.78,982.5
NGC4411,30.785,1212.5
PGC051523,30.79,1664.8
UGC11861,30.79,1687.2
NGC5866,30.795,820.9
NGC3175,30.795,879.4
ESO482-011,30.8,1492.9
UGC03830,30.8,1225.9
NGC7814,30.8,1203.1
NGC7231,30.8,1311.7
IC5273,30.803,1293.8
NGC4522,30.809,2258.2
NGC4536,30.81,1723.9
ESO288-049,30.81,1947.7
NGC1300,30.81,1505.4
NGC7331,30.812,1029.1
NGC1484,30.813,905.7
NGC4062,30.814,763.6
UGC02082,30.816,792.9
NGC4733,30.818,881.9
ESO363-015,30.82,1080.8
NGC4496A,30.822,1651
NGC1892,30.823,1163.4
NGC4666,30.825,1432.7
NGC7456,30.826,1193.1
NGC4713,30.828,586.5
NGC5669,30.83,1388.1
NGC4340,30.83,907.1
NGC7188,30.83,1840.7
NGC0972,30.834,1614.3
IC2135,30.836,1140.6
NGC3877,30.836,951.9
NGC4088,30.837,815.4
NGC1097,30.838,1187.8
NGC4689,30.84,1569.8
NGC5033,30.84,924.4
